year,location,population,water,chickens,eggs,cows,pigs,wheat,corn,carrots,lettuce,potatoes,strawberries
2022,OZMXM,6,541,3,12,1,2,2,18,53,8,11,36
2022,MGSVB,4,450,3,8,1,2,3,50,49,4,29,26
2022,ORLBA,5,495,3,17,2,2,0,24,34,19,27,21
2022,5LO29,5,325,1,7,1,1,1,15,17,10,10,6
2022,KJYDE,7,567,4,17,2,3,2,47,59,33,24,88
2022,QF90Y,7,866,3,16,1,2,2,29,33,28,29,49
2022,MK2I6,4,180,3,16,2,4,1,20,29,16,21,38
2022,RFUPK,3,279,4,13,3,3,3,47,48,53,20,68
2022,D5DY4,4,514,4,19,1,4,3,46,49,10,30,57
2021,GW30I,6,676,2,15,1,1,1,13,16,7,17,29
2021,EHUC5,5,577,3,18,2,1,3,25,31,39,25,29
2021,JHU5H,5,398,3,20,2,2,2,36,31,22,19,38
2021,NY47Q,5,580,4,35,2,2,2,32,60,19,56,66
2021,R0HT2,4,377,4,30,3,2,3,57,43,31,51,41
2021,T7O4U,6,513,4,25,2,3,3,5,43,13,29,51
2021,7M747,6,698,4,25,2,3,5,27,33,15,40,32
2021,R2KGH,6,524,3,12,2,2,3,25,44,15,26,50
2021,SFXAM,7,678,4,20,2,3,2,57,24,29,19,45
2020,HZRFS,6,613,4,20,2,4,4,59,35,18,51,63
2020,K7ILL,6,749,5,23,2,4,6,56,24,43,44,46
2020,D1LNB,6,487,5,26,3,3,3,37,48,3,51,73
2020,DSNTF,8,486,3,18,2,1,2,36,43,42,26,37
2020,R5I5M,6,553,5,42,2,4,5,58,80,4,42,57
2020,LW6X5,10,966,3,20,2,1,2,37,41,4,30,35
2020,92AVK,8,705,5,18,3,3,3,50,19,24,43,27
2020,V0HSA,7,585,3,25,2,1,3,19,28,9,26,17
2020,50JFY,6,430,4,12,2,3,4,16,54,19,26,89
2019,Q1CQM,7,871,5,21,2,3,9,74,55,33,29,83
2019,33IVJ,9,1274,6,45,3,5,6,25,60,57,30,38
2019,01N2I,6,574,5,18,2,4,4,0,54,17,34,74
2019,BPD9I,7,662,2,4,1,2,2,6,27,22,14,36
2019,KQXZ2,5,420,6,43,3,6,5,77,50,55,64,107
2019,UBA6J,4,461,5,29,3,2,4,37,74,23,31,83
2019,U7M93,9,896,5,24,2,4,4,69,97,16,57,29
2019,X7Z5S,4,392,4,17,2,3,4,21,47,37,45,30
2019,78ZX1,6,777,5,25,2,2,3,13,52,55,51,59
2018,AWM6U,7,801,5,20,2,4,5,74,25,23,60,52
2018,X9WDL,8,724,5,52,2,3,3,72,20,22,54,74
2018,43055,6,635,5,21,3,5,2,75,55,15,40,53
2018,K7TW9,7,922,5,46,2,4,4,64,24,9,41,94
2018,MA9T2,5,337,4,30,2,3,2,37,52,20,41,54
2018,G6HLR,7,619,6,41,3,7,4,56,79,49,50,105
2018,35CFI,7,629,5,40,3,3,6,50,51,6,42,83
2018,7JEKM,7,729,5,41,3,4,1,34,32,15,43,50
2018,NAIX3,4,531,4,17,2,4,1,44,49,12,48,40
2017,92K8U,3,150,5,33,2,4,4,73,50,25,42,47
2017,0C0T9,3,289,4,29,2,3,3,34,55,5,51,39
2017,EY8PK,3,106,5,27,2,5,4,48,55,15,51,84
2017,EV3RH,8,957,6,36,2,3,4,45,78,54,43,57
2017,FYVGB,9,564,6,26,4,5,5,91,81,17,47,104
2017,D6O3M,3,334,5,44,3,3,3,36,67,4,43,78
2017,SVGR6,6,864,5,10,3,4,4,41,70,31,41,71
2017,GVVSY,7,711,4,35,2,2,3,49,24,24,40,47
2017,3JG4B,7,792,4,29,2,5,3,60,90,29,44,76
2016,2SIIT,3,335,7,46,3,5,4,75,104,41,67,78
2016,D3PRS,6,798,3,19,1,2,3,48,41,30,20,32
2016,MZDT1,3,289,8,43,5,7,9,77,148,94,37,112
2016,ZQNVH,3,219,5,26,3,4,0,55,48,8,58,27
2016,EAELT,6,632,4,24,1,2,3,52,46,1,19,54
2016,236SD,8,1231,8,42,4,4,11,63,86,78,60,132
2016,GTFOM,8,916,5,23,3,4,4,73,92,35,33,63
2016,S6WME,4,183,4,26,1,3,3,34,55,4,36,67
2016,PPUMH,6,604,6,22,3,3,3,24,44,26,15,96
2015,PIXYQ,3,278,7,56,4,5,2,95,87,30,77,86
2015,74XXL,4,406,7,45,3,5,6,23,55,27,74,87
2015,GX69Y,5,507,6,37,3,2,4,63,119,48,51,105
2015,ZWCYZ,8,761,9,55,3,2,10,131,120,74,92,105
2015,OW5C0,11,1304,7,69,3,3,8,57,96,36,75,90
2015,FT96A,4,425,7,28,3,4,7,34,74,50,71,74
2015,Y1385,5,500,6,18,3,4,5,76,92,44,37,161
2015,XUCDP,5,454,8,39,4,6,9,72,137,20,72,140
2015,GR3FN,8,654,2,9,1,2,2,29,16,9,22,37
2014,MCDWJ,6,596,8,47,4,4,6,48,93,28,64,34
2014,8Y91P,5,429,8,72,5,4,9,117,55,59,48,27
2014,D6BLB,8,907,7,38,4,6,5,83,116,101,64,77
2014,4YNQ8,7,636,7,57,4,6,5,94,66,25,46,141
2014,6WSJY,6,517,10,91,5,5,7,171,30,16,83,123
2014,Q56WJ,7,729,5,16,3,4,4,74,48,25,19,72
2014,ZHY0X,4,382,7,43,3,6,2,61,78,39,74,139
2014,INUHO,4,315,8,45,3,5,5,127,104,44,105,95
2014,FVJF9,3,288,7,39,4,4,4,67,54,64,60,117
2013,7OB9J,5,539,7,49,4,5,10,74,154,45,93,178
2013,H497F,6,589,6,47,4,4,4,67,42,54,53,96
2013,RY6ZL,6,658,10,68,7,7,7,61,98,37,92,110
2013,FOWFK,7,615,6,36,4,5,5,64,67,40,41,76
2013,VVZUT,5,512,7,51,5,6,4,59,91,47,69,75
2013,QHG7D,6,742,9,48,6,7,6,55,109,52,31,141
2013,CRRLA,5,495,9,58,6,6,7,76,77,56,73,156
2013,Z9WCS,6,368,8,69,4,5,5,90,133,46,93,37
2013,S2X7J,4,570,11,33,4,7,11,93,115,57,74,136
2012,9XOYR,7,610,10,42,7,9,10,140,93,42,67,205
2012,7F8U8,8,700,15,74,6,8,14,94,156,55,119,165
2012,OFRYR,7,634,7,32,4,5,6,85,124,43,45,99
2012,OL00U,8,932,6,45,4,5,8,70,65,51,57,111
2012,CEYXZ,5,541,9,84,6,7,7,101,107,47,76,151
2012,HJ3SB,4,321,8,47,3,6,4,78,99,39,56,67
2012,I39HV,4,129,6,37,5,5,5,88,80,52,61,89
2012,N3PJL,7,634,9,29,6,9,7,81,83,106,92,99
2012,KUDK7,6,657,8,48,5,6,9,86,86,43,48,103
