person,vote
person1,steal
person2,infrastructure
person3,steal
person4,assassinate
person5,infrastructure
person6,infrastructure
person7,assassinate
person8,steal
person9,infrastructure
person10,steal
person11,infrastructure
person12,infrastructure
person13,steal
person14,steal
person15,assassinate
person16,infrastructure
person17,infrastructure
person18,infrastructure
person19,assassinate
person20,infrastructure
person21,assassinate
person22,steal
person23,infrastructure
person24,steal
person25,steal
person26,steal
person27,steal
person28,assassinate
person29,steal
person30,infrastructure
person31,assassinate
person32,infrastructure
person33,infrastructure
person34,steal
person35,steal
person36,assassinate
person37,steal
person38,infrastructure
person39,infrastructure
person40,steal
person41,steal
person42,steal
person43,assassinate
person44,assassinate
person45,assassinate
person46,assassinate
person47,steal
person48,infrastructure
person49,steal
person50,steal
person51,assassinate
person52,infrastructure
person53,assassinate
person54,infrastructure
person55,assassinate
person56,assassinate
person57,steal
person58,steal
person59,steal
person60,infrastructure
person61,assassinate
person62,steal
person63,assassinate
person64,infrastructure
person65,assassinate
person66,steal
person67,infrastructure
person68,infrastructure
person69,assassinate
person70,steal
person71,steal
person72,assassinate
person73,assassinate
person74,steal
person75,steal
person76,steal
person77,assassinate
person78,infrastructure
person79,steal
person80,steal
person81,assassinate
person82,infrastructure
person83,assassinate
person84,assassinate
person85,infrastructure
person86,infrastructure
person87,infrastructure
person88,assassinate
person89,infrastructure
person90,assassinate
person91,steal
person92,steal
person93,infrastructure
person94,assassinate
person95,infrastructure
person96,infrastructure
person97,assassinate
person98,steal
person99,steal
person100,infrastructure
person101,steal
person102,infrastructure
person103,assassinate
person104,assassinate
person105,infrastructure
person106,assassinate
person107,steal
person108,steal
person109,steal
person110,infrastructure
person111,assassinate
person112,infrastructure
person113,infrastructure
person114,assassinate
person115,assassinate
person116,infrastructure
person117,assassinate
person118,steal
person119,infrastructure
person120,infrastructure
person121,steal
person122,infrastructure
person123,assassinate
person124,steal
person125,steal
